Date,Consumption
04/19/2019,108.29
04/20/2019,173.85
04/21/2019,169.58
04/22/2019,106.66
04/23/2019,73.81
04/24/2019,206.89
04/25/2019,164.85
04/26/2019,132.51
04/27/2019,96.1
04/28/2019,150.5
04/29/2019,126.18
04/30/2019,183.54
05/01/2019,194.31
05/02/2019,173.37
05/03/2019,153.76
05/04/2019,126.63
05/05/2019,160.23
05/06/2019,136.33
05/07/2019,173.22
05/08/2019,182.38
05/09/2019,69.97
05/10/2019,165.66
05/11/2019,137.12
05/12/2019,74.13
05/13/2019,92.26
05/14/2019,140.12
05/15/2019,104
05/16/2019,181.98
05/17/2019,112.89
05/18/2019,179.41
05/19/2019,124.41
05/20/2019,92.1
05/21/2019,79.06
05/22/2019,198.4
05/23/2019,124.79
05/24/2019,148.62
05/25/2019,147.75
05/26/2019,126.72
05/27/2019,189.42
05/28/2019,111.88
05/29/2019,112
05/30/2019,151.52
05/31/2019,141.27
06/01/2019,73.36
06/02/2019,85.21
06/03/2019,71.22
06/04/2019,161.3
06/05/2019,130.75
06/06/2019,97.63
06/07/2019,110.9
06/08/2019,105.27
06/09/2019,87.83
06/10/2019,120.62
06/11/2019,113.04
06/12/2019,154.74
06/13/2019,179.24
06/14/2019,121.53
06/15/2019,188.79
06/16/2019,181.64
06/17/2019,165.5
06/18/2019,174.93
06/19/2019,93.55
06/20/2019,121.37
06/21/2019,95.05
06/22/2019,117.5
06/23/2019,66.14
06/24/2019,187.65
06/25/2019,147.01
06/26/2019,67.58
06/27/2019,146.78
06/28/2019,119.2
06/29/2019,107.02
06/30/2019,147.78
07/01/2019,66.22
07/02/2019,70.67
07/03/2019,110.63
07/04/2019,167.2
07/05/2019,168.22
07/06/2019,73.37
07/07/2019,145.91
07/08/2019,153.98
07/09/2019,129.59
07/10/2019,141.32
07/11/2019,134.71
07/12/2019,78.27
07/13/2019,90.19
07/14/2019,90.95
07/15/2019,60.81
07/16/2019,163.02
07/17/2019,132.05
07/18/2019,115.34
07/19/2019,111.84
07/20/2019,119.76
07/21/2019,124.3
07/22/2019,93.02
07/23/2019,78.6
07/24/2019,105.47
07/25/2019,117.79
07/26/2019,137.98
07/27/2019,158.97
07/28/2019,83.83
07/29/2019,154.05
07/30/2019,172.06
07/31/2019,168.17
08/01/2019,166.01
08/02/2019,152.21
08/03/2019,106.21
08/04/2019,84.25
08/05/2019,97.53
08/06/2019,117.41
08/07/2019,58.89
08/08/2019,168.5
08/09/2019,76.93
08/10/2019,134.42
08/11/2019,78.71
08/12/2019,139.04
08/13/2019,159.16
08/14/2019,166.11
08/15/2019,165
08/16/2019,90.48
08/17/2019,93.42
08/18/2019,126.02
08/19/2019,73.5
08/20/2019,95.98
08/21/2019,93.34
08/22/2019,67.76
08/23/2019,84.18
08/24/2019,165.62
08/25/2019,130.46
08/26/2019,118.52
08/27/2019,144.92
08/28/2019,58.65
08/29/2019,133.75
08/30/2019,120.48
08/31/2019,74.79
09/01/2019,125.92
09/02/2019,88.93
09/03/2019,147.61
09/04/2019,81.74
09/05/2019,120.91
09/06/2019,76.24
09/07/2019,73.74
09/08/2019,77.79
09/09/2019,128.16
09/10/2019,104.25
09/11/2019,84.07
09/12/2019,62.48
09/13/2019,66.62
09/14/2019,59.22
09/15/2019,125.41
09/16/2019,110.81
09/17/2019,128.75
09/18/2019,78.73
09/19/2019,100.89
09/20/2019,97.05
09/21/2019,111.95
09/22/2019,81.96
09/23/2019,90.56
09/24/2019,139
09/25/2019,110.51
09/26/2019,128.17
09/27/2019,113.46
09/28/2019,98.14
09/29/2019,146.2
09/30/2019,128.51
10/01/2019,77.58
10/02/2019,102.76
10/03/2019,123.35
10/04/2019,75.08
10/05/2019,129.07
10/06/2019,76.9
10/07/2019,121.21
10/08/2019,95.5
10/09/2019,85.21
10/10/2019,93.67
10/11/2019,126.8
10/12/2019,58.37
10/13/2019,127.9
10/14/2019,72.32
10/15/2019,117.92
10/16/2019,102.59
10/17/2019,94.14
10/18/2019,70.39
10/19/2019,63.45
10/20/2019,107.37
10/21/2019,105.84
10/22/2019,60.28
10/23/2019,86.76
10/24/2019,57.83
10/25/2019,70.01
10/26/2019,113.43
10/27/2019,120.14
10/28/2019,88.69
10/29/2019,118.74
10/30/2019,89.57
10/31/2019,115.79
11/01/2019,94.12
11/02/2019,72.93
11/03/2019,114.22
11/04/2019,59.95
11/05/2019,112.42
11/06/2019,66.85
11/07/2019,114.34
11/08/2019,90.61
11/09/2019,85.08
11/10/2019,81.1
11/11/2019,72.1
11/12/2019,105.04
11/13/2019,69.7
11/14/2019,100.82
11/15/2019,106.88
11/16/2019,83.21
11/17/2019,99.33
11/18/2019,91.71
11/19/2019,65.99
11/20/2019,78.64
11/21/2019,98.22
11/22/2019,81.86
11/23/2019,64.36
11/24/2019,82.21
11/25/2019,79.04
11/26/2019,68.37
11/27/2019,78.01
11/28/2019,76.78
11/29/2019,79.69
11/30/2019,65.43
12/01/2019,65.35
12/02/2019,65.95
12/03/2019,66.85
12/04/2019,72.65
12/05/2019,58.02
12/06/2019,66.51
12/07/2019,65.87
12/08/2019,59.46
12/09/2019,61.6
12/10/2019,57.8
12/11/2019,57.88
12/12/2019,57.07
12/13/2019,55.94
12/14/2019,51.48
12/15/2019,51.14
12/16/2019,53.72
12/17/2019,53.12
12/18/2019,50.69
12/19/2019,33.05
12/20/2019,30.76
12/21/2019,22.75
12/22/2019,20.73
12/23/2019,56.92
12/24/2019,50.91
12/25/2019,4.89
12/26/2019,34.15
12/27/2019,33.99
12/28/2019,80.77
12/29/2019,18.8
12/30/2019,40.37
12/31/2019,17.38
